pool_rank,available_rank,preset_rank,sleeper_id,player_name,position,team,availability,keeper_team,keeper_round,projection_league_points,projection_ppg,projection_sources,projection_source_count,projection_confidence,ffc_adp,ffc_times_drafted,ffc_sd,keeper_adjusted_market_pick,expected_round,value_gap,vorp,vorp_score,usage_score,ceiling_score,useful_floor_score,environment_score,risk_penalty,current_year_score,final_score_at_market_round,overall_tier,position_rank,position_tier,rookie_keeper_option_score,rookie_keeper_grade,rookie_year_grade,target_window,sensitivity_best_rank,sensitivity_worst_rank,sensitivity_rank_range,confidence,manual_gate,scheme_family,offensive_coordinator,play_caller_confidence,note,as_of_date
1,1,1,fake-2001,Wren Calder,QB,SEA,AVAILABLE,,,24.1,19.4,demo-consensus,1,low,6,0,0,5,1,1,9.1,88,80,84,70,66,0,86,87,1,1,1,,none,n/a,,,,,low,,FAKE,Not A Coach,none,OBVIOUSLY FAKE Harbor Cats fixture — do not draft,2026-09-01
2,2,2,fake-2002,Ivo Marsh,WR,MIA,AVAILABLE,,,20.2,16.4,demo-consensus,1,low,9,0,0,7,1,1,7.4,80,82,78,71,64,0,79,80,1,1,1,,none,n/a,,,,,low,,FAKE,Not A Coach,none,OBVIOUSLY FAKE Harbor Cats fixture — do not draft,2026-09-01
3,3,3,fake-2003,Quin Harlow,RB,DET,AVAILABLE,,,19.0,15.5,demo-consensus,1,low,11,0,0,8,1,1,6.8,76,84,72,73,60,1,77,78,1,1,1,,none,n/a,,,,,low,,FAKE,Not A Coach,none,OBVIOUSLY FAKE Harbor Cats fixture — do not draft,2026-09-01
4,4,4,fake-2004,Tess Quay,WR,GB,AVAILABLE,,,17.6,14.3,demo-consensus,1,low,18,0,0,14,2,1,5.2,68,70,69,63,58,0,68,69,2,2,2,,none,n/a,,,,,low,,FAKE,Not A Coach,none,OBVIOUSLY FAKE Harbor Cats fixture — do not draft,2026-09-01
5,5,5,fake-2005,Boone Laird,QB,LAC,AVAILABLE,,,20.0,16.1,demo-consensus,1,low,32,0,0,26,3,3,4.4,62,61,74,50,55,3,64,66,2,2,2,,none,n/a,,,,,low,,FAKE,Not A Coach,none,OBVIOUSLY FAKE Harbor Cats fixture — do not draft,2026-09-01
6,6,6,fake-2006,Remy Holt,RB,KC,AVAILABLE,,,16.4,13.3,demo-consensus,1,low,28,0,0,22,2,1,4.0,60,66,58,57,67,1,62,63,2,2,2,,none,n/a,,,,,low,,FAKE,Not A Coach,none,OBVIOUSLY FAKE Harbor Cats fixture — do not draft,2026-09-01
7,7,7,fake-2007,Pilot Greer,RB,ATL,AVAILABLE,,,13.8,11.1,demo-consensus,1,low,55,0,0,46,5,2,2.4,44,50,60,33,48,3,49,52,3,4,3,8,B,n/a,5-7,,,,low,,FAKE,Not A Coach,none,OBVIOUSLY FAKE Harbor Cats fixture — do not draft,2026-09-01
8,8,8,fake-2008,Jory Finch,RB,CHI,AVAILABLE,,,14.8,12.0,demo-consensus,1,low,40,0,0,34,3,-3,2.9,48,38,76,18,40,14,41,38,4,5,4,,none,n/a,,,,,low,,FAKE,Not A Coach,none,OBVIOUSLY FAKE Harbor Cats fixture — do not draft,2026-09-01
9,9,9,fake-2009,Sable Ortiz,WR,BUF,MANUAL,,,16.0,13.0,demo-consensus,1,low,27,0,0,23,2,,,,,,,,,58,57,3,3,3,,none,n/a,,,,,low,role unclear — same-day source required,FAKE,Not A Coach,none,OBVIOUSLY FAKE Harbor Cats fixture — do not draft,2026-09-01
10,10,10,fake-k1,Reed Calder,RB,SF,KEEPER,Harbor Cats,11,8.1,,demo-consensus,1,low,,0,0,,,,,,,,,,,32,32,6,12,5,,none,n/a,,,,,low,,FAKE,Not A Coach,none,OBVIOUSLY FAKE Harbor Cats fixture — do not draft,2026-09-01
11,11,11,fake-k2,Pax Ellison,TE,CLE,KEEPER,Harbor Cats,14,7.2,,demo-consensus,1,low,,0,0,,,,,,,,,,,28,28,7,8,4,,none,n/a,,,,,low,,FAKE,Not A Coach,none,OBVIOUSLY FAKE Harbor Cats fixture — do not draft,2026-09-01
12,12,12,fake-k3,Nico Vale,TE,NE,KEEPER,Salt Wren,10,9.0,,demo-consensus,1,low,,0,0,,,,,,,,,,,36,36,5,3,2,,none,n/a,,,,,low,,FAKE,Not A Coach,none,OBVIOUSLY FAKE Harbor Cats fixture — do not draft,2026-09-01
13,13,13,fake-k4,Kade Vesper,WR,DAL,KEEPER,Pine Dock,5,14.4,,demo-consensus,1,low,,0,0,,,,,,,,,,,61,61,2,4,2,,none,n/a,,,,,low,,FAKE,Not A Coach,none,OBVIOUSLY FAKE Harbor Cats fixture — do not draft,2026-09-01
14,14,14,fake-k5,Ellis Rowan,WR,BAL,KEEPER,Red Harbor,8,12.1,,demo-consensus,1,low,,0,0,,,,,,,,,,,50,50,3,6,3,,none,n/a,,,,,low,,FAKE,Not A Coach,none,OBVIOUSLY FAKE Harbor Cats fixture — do not draft,2026-09-01
15,15,15,fake-k6,Maren Sol,RB,NYJ,KEEPER,Glass Eel,12,7.8,,demo-consensus,1,low,,0,0,,,,,,,,,,,30,30,6,14,5,,none,n/a,,,,,low,,FAKE,Not A Coach,none,OBVIOUSLY FAKE Harbor Cats fixture — do not draft,2026-09-01
